id,year,CIF1_diff_at,CIF2_diff_at,CIF1_ratio_at,CIF2_ratio_at,CIF1_diff_true_at,CIF2_diff_true_at,CIF1_ratio_true_at,CIF2_ratio_true_at,hr_gender_true_at,givenage,scenario,model,independence,prop_sex_other,base_function,model_lab,obs,convergence_t1t1,convergence_t1t2,sdage,bias_CIF1_at,bias_CIF2_at,CIF1_true_at,CIF2_true_at,MCer_CIF1_at,MCer_CIF2_at,rel_bias_CIF1_at,rel_bias_CIF2_at,Rel_prec_CIF1_at,Rel_prec_CIF2_at,Coverage_CIF1_at,Coverage_CIF2_at,hr_gender_at,bias_hr_gender_at,female,simulation,average_bias_CIF2,average_bias_CIF1
143,1,-.00554532,-.017742218,.96446687,.64585507,-.0047223009,-.017372001,.96707535,.64557886,.63965797,70,8,0,1,Non_PH_sex_other,Non_exponential,Approach a- Attained,2000,998,998,10,-.000051057203,.00026884556,.13870513,.031643134,.00042473743,.00009992272,.036809888,.84961736,,,.94599998,.94199997,.64048648,.00082852721,1,nick,-.00020623712,.00047601329
148,1,-.0055135577,-.017664386,.96469158,.74025464,-.0047223009,-.017372001,.96707535,.64557886,.63965797,70,8,1,1,Non_PH_sex_other,Non_exponential,Approach b- Linear,2000,1000,998,10,-.0011748311,.019634599,.13870513,.031643134,.0004284138,.0015579968,.84699905,62.050106,.96658045,1460.7633,.949,.184,.73013306,.090475112,1,nick,.036773469,-.0050487039
153,1,-.0058036083,-.013705317,.96265322,.7387864,-.0047223009,-.017372001,.96707535,.64557886,.63965797,70,8,2,1,Non_PH_sex_other,Non_exponential,Approach c- Splines,2000,1000,998,10,-.00036101829,.0058439956,.13870513,.031643134,.00042310503,.00016130682,.26027754,18.468447,-.28456759,61.593239,.94800001,.77399999,.73060787,.0909499,1,nick,.010242866,-.0010309403
158,1,-.0058215759,-.013040662,.96260345,.73195159,-.0047223009,-.017372001,.96707535,.64557886,.63965797,70,8,3,1,Non_PH_sex_other,Non_exponential,Approach d- Splines/Int,2000,796,998,10,-.00029200586,.0029955765,.13870513,.031643134,.00047431569,.00025398025,.21052276,9.4667501,-.26714841,127.00059,.75599998,.72299999,.7239846,.08432664,1,nick,.0076535335,-.00047981893
163,1,-.0067750136,-.0048523252,.95667726,.71134913,-.0064433664,-.0046731941,.95569998,.705226,.69999999,70,9,0,0,PH_sex_other,Gompertz,Approach a- Attained,2000,1000,1000,10,.00034429505,.00063968165,.13900496,.011180289,.00040621794,.000041090549,.24768543,5.7215123,,,.94700003,.935,.70590943,.0059094583,1,nick,.00033846256,-.0005093877
168,1,-.0065589822,-.0080598332,.95802182,.72211647,-.0064433664,-.0046731941,.95569998,.705226,.69999999,70,9,1,0,PH_sex_other,Gompertz,Approach b- Linear,2000,1000,1000,10,-.00015372968,.0096676927,.13900496,.011180289,.00040697082,.00073772244,.11059295,86.470863,.18533926,1695.3579,.94800001,.22,.71518022,.015180255,1,nick,.043109238,-.0039194301
173,1,-.0068187919,-.0042752963,.95641524,.71295893,-.0064433664,-.0046731941,.95569998,.705226,.69999999,70,9,2,0,PH_sex_other,Gompertz,Approach c- Splines,2000,1000,1000,10,.00043394233,-.00065232487,.13900496,.011180289,.00040665947,.000063111867,.31217757,5.8345976,.10869556,53.592182,.94499999,.92400002,.70766538,.0076654181,1,nick,.00045320301,-.00021204556
178,1,-.006698593,-.0049212687,.95723408,.70994401,-.0064433664,-.0046731941,.95569998,.705226,.69999999,70,9,3,0,PH_sex_other,Gompertz,Approach d- Splines/Int,2000,838,1000,10,.00030288738,.00075368379,.13900496,.011180289,.00044453455,.00012745683,.21789682,6.7411833,.17709927,183.95088,.79299998,.79900002,.70441425,.0044142525,1,nick,.0021555473,-.00071028864
183,1,-.0066909483,-.005824117,.95724046,.66338086,-.0055225501,-.0056878151,.96203083,.64122617,.63965797,70,10,0,0,Non_PH_sex_other,Gompertz,Approach a- Attained,2000,969,969,10,-.00060145656,.00095043791,.13992578,.010165668,.00041364785,.000051547166,.42983973,9.3494883,,,.91799998,.884,.66543144,.025773454,1,nick,.0030851041,-.00061851635
188,1,-.0066001671,-.0074626198,.9577322,.76690549,-.0055225501,-.0056878151,.96203083,.64122617,.63965797,70,10,1,0,Non_PH_sex_other,Gompertz,Approach b- Linear,2000,1000,969,10,-.0011812794,.012076622,.13992578,.010165668,.00040758579,.00085357088,.84421861,118.79811,.098218352,1582.1818,.94599998,.23800001,.75848687,.11882889,1,nick,.055272702,-.0047401572
193,1,-.0068505756,-.0040392806,.95621306,.73608327,-.0055225501,-.0056878151,.96203083,.64122617,.63965797,70,10,2,0,Non_PH_sex_other,Gompertz,Approach c- Splines,2000,1000,969,10,-.00049705786,-.000020276351,.13992578,.010165668,.00040690883,.000067458714,.35522965,.19945912,-.068032607,32.944809,.94800001,.94400001,.73185736,.092199393,1,nick,.0064827157,-.00041261592
198,1,-.0069704689,-.0038630757,.95539683,.77985126,-.0055225501,-.0056878151,.96203083,.64122617,.63965797,70,10,3,0,Non_PH_sex_other,Gompertz,Approach d- Splines/Int,2000,780,969,10,-.00080018403,.0019256528,.13992578,.010165668,.00046579429,.00014338159,.57186323,18.942707,1.0296346,149.55945,.73699999,.72399998,.77460015,.13494216,1,nick,.0092464164,-.0013288399
203,1,-.006311391,-.0049431967,.95960939,.70866507,-.0064433664,-.0046731941,.95569998,.705226,.69999999,70,11,0,1,PH_sex_other,Gompertz,Approach a- Attained,2000,1000,1000,10,.00071941584,.00068099075,.13900496,.011180289,.00041211408,.000039930994,.51754689,6.0909939,,,.95300001,.935,.70346332,.0034632988,1,nick,.00049522292,.000056080666
208,1,-.0061455164,-.0075276578,.9606598,.71951991,-.0064433664,-.0046731941,.95569998,.705226,.69999999,70,11,1,1,PH_sex_other,Gompertz,Approach b- Linear,2000,1000,1000,10,.00030852735,.0082465131,.13900496,.011180289,.00041227043,.00063045067,.22195421,73.759392,.037938327,1478.8505,.95499998,.20900001,.71307313,.013073149,1,nick,.038801905,-.0029344917
